Activity_Period,RegionName,Passenger_Count
201411,Europe,184332
201806,Middle East,46777
201211,Australia / Oceania,31450
201105,Australia / Oceania,31416
201303,Europe,174402
201207,Central America,13319
201810,Canada,157238
201607,Central America,20847
201806,Mexico,123433
201609,Europe,353799
201702,Canada,91338
200901,US,1969369
201012,Europe,140962
201210,Middle East,17022
200905,Central America,8050
201704,Europe,300434
201301,Asia,329796
201708,Mexico,125209
200508,US,2405904
201203,Asia,318117
201408,Canada,167764
201708,Middle East,45667
200802,Asia,317572
200706,US,2450337
201210,Mexico,64329
201901,Central America,34232
201903,Asia,474565
200712,Canada,97675
201608,Europe,379846
201610,Central America,19479
201711,Europe,225359
201804,Europe,289502
201602,Mexico,80939
201504,Canada,106990
200511,Central America,8364
200605,Canada,98406
200805,Mexico,55930
201011,Asia,315050
201506,Asia,394980
201602,Middle East,33846
200512,Central America,12907
201112,Europe,157069
201104,Central America,9829
200907,Canada,131657
200610,Canada,95417
200806,US,2622840
201110,Canada,116011
201007,Asia,371414
200812,Central America,10949
201405,Canada,137342
201305,Mexico,65223
201101,South America,6567
201306,Asia,375051
201310,Mexico,64585
201312,Canada,88161
200510,US,2095119
201310,Middle East,18555
201409,US,3042985
200702,Central America,8060
200906,Australia / Oceania,39632
200808,Australia / Oceania,39837
201305,Middle East,17270
201902,Australia / Oceania,72566
201811,Europe,267634
200708,Europe,217287
201212,Canada,82075
201603,US,3227881
201809,Central America,28132
200608,Canada,138235
200910,Europe,194400
201803,Australia / Oceania,63394
201208,Central America,13086
201001,Australia / Oceania,42685
201204,Europe,210669
201706,Asia,483230
200601,Asia,334303
200811,Europe,149593
201101,Middle East,18760
201201,Canada,75017
201401,US,2665476
200810,Australia / Oceania,37926
200607,US,2388582
201101,Mexico,42271
201403,Central America,10627
201305,South America,5548
200604,Europe,187814
201612,Central America,28346
201310,South America,5301
200603,Asia,326056
200904,Asia,300701
201710,Canada,145883
200902,Asia,248378
201002,Middle East,14068
201907,Canada,230754
201805,Middle East,40096
201002,Mexico,49343
201805,Mexico,108646
200507,Mexico,54131
201308,US,3362104
200903,Central America,8428
201808,Australia / Oceania,57785
200908,US,2816869
201704,Australia / Oceania,51359
201510,Middle East,33050
201012,Australia / Oceania,44794
201609,Australia / Oceania,50276
201510,Mexico,70776
201709,Canada,163479
201211,Europe,159121
201005,Canada,111186
201206,Central America,12053
201105,Europe,230772
201508,Asia,410205
201801,Asia,453275
200611,Asia,322150
200909,Europe,215960
201209,US,2981537
201411,Australia / Oceania,29894
201303,Australia / Oceania,32805
201611,Asia,391620
201410,Canada,122854
201112,Australia / Oceania,37424
201604,Mexico,93364
201604,Middle East,36995
200804,Asia,337265
201210,South America,6525
201502,Central America,10010
201908,Central America,28907
201608,Australia / Oceania,49244
201711,Australia / Oceania,55255
201804,Australia / Oceania,48009
201205,Asia,369274
201304,Asia,322439
201708,South America,81
200709,Mexico,34291
201006,Central America,10206
201302,Canada,74738
200708,Australia / Oceania,44597
201811,Australia / Oceania,74748
201605,Asia,414307
201703,Central America,23827
200910,Australia / Oceania,40927
201803,Europe,263543
201505,Canada,150263
201507,Central America,15414
201407,US,3474835
200808,Europe,231873
201311,Canada,80822
201902,Europe,228925
200906,Europe,214681
201503,Canada,107545
200602,US,1654332
201812,US,3404846
201707,Central America,30700
200701,Central America,10213
201408,US,3494105
201508,Mexico,88679
201801,Mexico,119105
200611,Mexico,60477
200706,Canada,114188
201007,South America,6430
200901,Canada,75566
201702,US,2644126
200807,Central America,10288
201905,Australia / Oceania,71669
200508,Canada,124737
